,,SParServer,,WL_1_Value,,SParServer,,INT_PT100,,BATERIA,
time,status,sid,status,Avg,status,PP_Acum,status,T_int,status,meas,
9/20/14 11:30:03 AM,VALID,34130000,VALID,298.449,VALID,0.0,VALID,30.837,VALID,13.676,
9/20/14 11:45:03 AM,VALID,34130000,VALID,298.187,VALID,0.0,VALID,31.542,VALID,14.363,
9/20/14 12:00:03 PM,VALID,34130000,VALID,298.114,VALID,0.0,VALID,32.257,VALID,13.505,
9/20/14 12:15:02 PM,VALID,34130000,VALID,298.25,VALID,0.0,VALID,32.505,VALID,13.505,
9/20/14 12:30:02 PM,VALID,34130000,VALID,298.306,VALID,0.0,VALID,32.657,VALID,13.505,
9/20/14 12:45:02 PM,VALID,34130000,VALID,298.45,VALID,0.0,VALID,33.317,VALID,13.505,
9/20/14 1:00:02 PM,VALID,34130000,VALID,298.154,VALID,0.0,VALID,33.907,VALID,13.504,
9/20/14 1:15:02 PM,VALID,34130000,VALID,298.093,VALID,0.0,VALID,34.315,VALID,13.504,
9/20/14 1:30:02 PM,VALID,34130000,VALID,298.066,VALID,0.0,VALID,34.825,VALID,13.504,
9/20/14 1:45:02 PM,VALID,34130000,VALID,298.495,VALID,0.0,VALID,35.472,VALID,13.504,
9/20/14 2:00:02 PM,VALID,34130000,VALID,298.426,VALID,0.0,VALID,35.712,VALID,13.503,
9/20/14 2:15:02 PM,VALID,34130000,VALID,298.569,VALID,0.0,VALID,36.356,VALID,13.503,
9/20/14 2:30:02 PM,VALID,34130000,VALID,298.63,VALID,0.0,VALID,36.666,VALID,13.503,
9/20/14 2:45:02 PM,VALID,34130000,VALID,298.462,VALID,0.0,VALID,36.773,VALID,13.503,
9/20/14 3:00:02 PM,VALID,34130000,VALID,298.698,VALID,0.0,VALID,37.09,VALID,13.504,
9/20/14 3:15:02 PM,VALID,34130000,VALID,298.583,VALID,0.0,VALID,37.586,VALID,13.504,
9/20/14 3:30:02 PM,VALID,34130000,VALID,298.84,VALID,0.0,VALID,38.083,VALID,13.503,
9/20/14 3:45:02 PM,VALID,34130000,VALID,298.613,VALID,0.0,VALID,38.205,VALID,13.503,
9/20/14 4:00:02 PM,VALID,34130000,VALID,299.026,VALID,0.0,VALID,38.204,VALID,13.502,
9/20/14 4:15:02 PM,VALID,34130000,VALID,298.822,VALID,0.0,VALID,38.938,VALID,13.503,
9/20/14 4:30:02 PM,VALID,34130000,VALID,298.822,VALID,0.0,VALID,39.577,VALID,13.502,
9/20/14 4:45:02 PM,VALID,34130000,VALID,298.926,VALID,0.0,VALID,39.001,VALID,13.501,
9/20/14 5:00:02 PM,VALID,34130000,VALID,298.813,VALID,0.0,VALID,39.644,VALID,13.503,
9/20/14 5:15:02 PM,VALID,34130000,VALID,298.968,VALID,0.0,VALID,40.597,VALID,13.5,
9/20/14 5:30:02 PM,VALID,34130000,VALID,298.757,VALID,0.0,VALID,41.599,VALID,13.501,
9/20/14 5:45:02 PM,VALID,34130000,VALID,298.908,VALID,0.0,VALID,41.157,VALID,13.502,
9/20/14 6:00:02 PM,VALID,34130000,VALID,298.674,VALID,0.0,VALID,41.687,VALID,13.501,
9/20/14 6:15:02 PM,VALID,34130000,VALID,298.892,VALID,0.0,VALID,41.485,VALID,13.501,
9/20/14 6:30:02 PM,VALID,34130000,VALID,298.628,VALID,0.0,VALID,42.907,VALID,13.5,
9/20/14 6:45:02 PM,VALID,34130000,VALID,298.894,VALID,0.0,VALID,43.294,VALID,13.5,
9/20/14 7:00:02 PM,VALID,34130000,VALID,298.847,VALID,0.0,VALID,41.847,VALID,13.31,
9/20/14 7:15:02 PM,VALID,34130000,VALID,299.036,VALID,0.0,VALID,40.724,VALID,13.501,
9/20/14 7:30:02 PM,VALID,34130000,VALID,298.973,VALID,0.0,VALID,40.192,VALID,13.502,
9/20/14 7:45:02 PM,VALID,34130000,VALID,298.749,VALID,0.0,VALID,40.758,VALID,13.502,
9/20/14 8:00:02 PM,VALID,34130000,VALID,299.381,VALID,0.0,VALID,40.951,VALID,13.501,
9/20/14 8:15:02 PM,VALID,34130000,VALID,298.771,VALID,0.0,VALID,40.577,VALID,13.501,
9/20/14 8:30:02 PM,VALID,34130000,VALID,298.683,VALID,0.0,VALID,39.253,VALID,13.226,
9/20/14 8:45:02 PM,VALID,34130000,VALID,298.57,VALID,0.0,VALID,37.911,VALID,13.182,
9/20/14 9:00:02 PM,VALID,34130000,VALID,298.527,VALID,0.0,VALID,36.825,VALID,13.178,
9/20/14 9:15:02 PM,VALID,34130000,VALID,298.616,VALID,0.0,VALID,35.926,VALID,13.174,
9/20/14 9:30:02 PM,VALID,34130000,VALID,298.32,VALID,0.0,VALID,35.101,VALID,13.168,
9/20/14 9:45:02 PM,VALID,34130000,VALID,298.4,VALID,0.0,VALID,34.319,VALID,13.163,
9/20/14 10:00:02 PM,VALID,34130000,VALID,298.496,VALID,0.0,VALID,33.517,VALID,13.159,
9/20/14 10:15:02 PM,VALID,34130000,VALID,298.359,VALID,0.0,VALID,32.769,VALID,13.155,
9/20/14 10:30:02 PM,VALID,34130000,VALID,298.303,VALID,0.0,VALID,32.076,VALID,13.148,
9/20/14 10:45:02 PM,VALID,34130000,VALID,298.3,VALID,0.0,VALID,31.442,VALID,13.142,
9/20/14 11:00:03 PM,VALID,34130000,VALID,298.206,VALID,0.0,VALID,30.895,VALID,13.137,
9/20/14 11:15:03 PM,VALID,34130000,VALID,298.135,VALID,0.0,VALID,30.42,VALID,13.133,
9/20/14 11:30:03 PM,VALID,34130000,VALID,298.206,VALID,0.0,VALID,29.948,VALID,13.127,
9/20/14 11:45:02 PM,VALID,34130000,VALID,298.137,VALID,0.0,VALID,29.514,VALID,13.121,
9/21/14 12:00:02 AM,VALID,34130000,VALID,298.171,VALID,0.0,VALID,29.181,VALID,13.112,
9/21/14 12:15:02 AM,VALID,34130000,VALID,298.08,VALID,0.0,VALID,29.121,VALID,13.111,
9/21/14 12:30:02 AM,VALID,34130000,VALID,297.986,VALID,0.0,VALID,29.214,VALID,13.105,
9/21/14 12:45:02 AM,VALID,34130000,VALID,298.108,VALID,0.0,VALID,29.22,VALID,13.1,
9/21/14 1:00:02 AM,VALID,34130000,VALID,297.917,VALID,0.0,VALID,29.038,VALID,13.094,
9/21/14 1:15:02 AM,VALID,34130000,VALID,297.805,VALID,0.0,VALID,28.746,VALID,13.092,
9/21/14 1:30:02 AM,VALID,34130000,VALID,297.764,VALID,0.0,VALID,28.395,VALID,13.086,
9/21/14 1:45:02 AM,VALID,34130000,VALID,297.79,VALID,0.0,VALID,28.041,VALID,13.08,
9/21/14 2:00:02 AM,VALID,34130000,VALID,297.75,VALID,0.0,VALID,27.7,VALID,13.073,
9/21/14 2:15:02 AM,VALID,34130000,VALID,297.971,VALID,0.0,VALID,27.346,VALID,13.071,
9/21/14 2:30:02 AM,VALID,34130000,VALID,297.905,VALID,0.0,VALID,27.026,VALID,13.065,
9/21/14 2:45:02 AM,VALID,34130000,VALID,297.739,VALID,0.0,VALID,26.718,VALID,13.059,
9/21/14 3:00:02 AM,VALID,34130000,VALID,297.799,VALID,0.0,VALID,26.492,VALID,13.052,
9/21/14 3:15:02 AM,VALID,34130000,VALID,297.7,VALID,0.0,VALID,26.24,VALID,13.049,
9/21/14 3:30:02 AM,VALID,34130000,VALID,297.742,VALID,0.0,VALID,25.958,VALID,13.044,
9/21/14 3:45:02 AM,VALID,34130000,VALID,297.498,VALID,0.0,VALID,25.688,VALID,13.038,
9/21/14 4:00:02 AM,VALID,34130000,VALID,297.63,VALID,0.0,VALID,25.411,VALID,13.03,
9/21/14 4:15:02 AM,VALID,34130000,VALID,297.688,VALID,0.0,VALID,25.14,VALID,13.028,
9/21/14 4:30:02 AM,VALID,34130000,VALID,297.592,VALID,0.0,VALID,24.876,VALID,13.022,
9/21/14 4:45:02 AM,VALID,34130000,VALID,297.535,VALID,0.0,VALID,24.646,VALID,13.016,
9/21/14 5:00:02 AM,VALID,34130000,VALID,297.704,VALID,0.0,VALID,24.426,VALID,13.007,
9/21/14 5:15:02 AM,VALID,34130000,VALID,297.344,VALID,0.0,VALID,24.231,VALID,13.005,
9/21/14 5:30:02 AM,VALID,34130000,VALID,297.526,VALID,0.0,VALID,24.052,VALID,12.999,
9/21/14 5:45:02 AM,VALID,34130000,VALID,297.405,VALID,0.0,VALID,23.899,VALID,12.994,
9/21/14 6:00:02 AM,VALID,34130000,VALID,297.359,VALID,0.0,VALID,23.711,VALID,12.985,
9/21/14 6:15:02 AM,VALID,34130000,VALID,297.417,VALID,0.0,VALID,23.558,VALID,12.984,
9/21/14 6:30:02 AM,VALID,34130000,VALID,297.234,VALID,0.0,VALID,23.405,VALID,12.979,
9/21/14 6:45:02 AM,VALID,34130000,VALID,297.223,VALID,0.0,VALID,23.253,VALID,12.974,
9/21/14 7:00:02 AM,VALID,34130000,VALID,297.457,VALID,0.0,VALID,23.086,VALID,12.965,
9/21/14 7:15:02 AM,VALID,34130000,VALID,297.231,VALID,0.0,VALID,22.923,VALID,12.965,
9/21/14 7:30:02 AM,VALID,34130000,VALID,297.242,VALID,0.0,VALID,22.807,VALID,12.961,
9/21/14 7:45:02 AM,VALID,34130000,VALID,297.186,VALID,0.0,VALID,22.687,VALID,12.957,
9/21/14 8:00:02 AM,VALID,34130000,VALID,297.386,VALID,0.0,VALID,22.577,VALID,12.949,
